term,estimate,se,p_value,ci_low,ci_high
Intercept,-3.253379430398871,2.194638382909122,0.1382281395387029,-7.55487066090075,1.0481118001030083
mlb_seasons_in,-0.002720636580818531,0.015581703664027155,0.861390361814808,-0.033260775762311755,0.027819502600674693
fastball_velo_mean,0.020023963661447954,0.02054952494464275,0.3298457349229541,-0.020253105230051836,0.06030103255294775
usage_share,1.4598342918599385,0.9516794633809351,0.1250405116204067,-0.4054574563666944,3.3251260400865714
is_novelty_year,-0.15478270026558932,0.17434800651816526,0.37465901971115,-0.4965047930411932,0.18693939251001457
Group Var,0.06337089485672263,0.040122973028267395,0.1142405024737523,-0.015270132278681459,0.14201192199212673
