term,estimate,se,p_value,ci_low,ci_high
Intercept,-4.611972634043677,5.016681688865317,0.3579243815329568,-14.444668744219697,5.220723476132345
npb_years,0.10089309388816972,0.10232488370511943,0.32412947509351064,-0.09966367817386435,0.3014498659502038
mlb_seasons_in,-0.045270769054585276,0.03318267646372062,0.17247654535235246,-0.11030881492347769,0.01976727681430713
fastball_velo_mean,0.023330384459299185,0.05148828706275093,0.6504621691455889,-0.07758665818369265,0.124247427102291
usage_share,2.797403871191545,1.380313415248328,0.042698835536640056,0.09198957730482205,5.502818165078269
is_novelty_year,-0.6570928809681529,0.39113206933698863,0.09296179053980387,-1.4237117368686505,0.10952597493234484
Group Var,0.18221548108809435,0.11327608776393586,0.10770467195643348,-0.03980565092921992,0.4042366131054086
